veracity,statement,light_normalization
False,"""Only 25 percent of what people buy is subject to Rhode Island’s sales tax.""","""only 25 percent of what people buy is subject to rhode islands sales tax."""
True,"""Harry Reid was against (the nuclear option) before he was for it. Mitch McConnell was for it before he was against it. President Obama was against it before he was for it.""","""harry reid was against (the nuclear option) before he was for it. mitch mcconnell was for it before he was against it. president obama was against it before he was for it."""
False,"""On (the federal minimum wage of) $7.75, you can’t even make half the poverty level.""","""on (the federal minimum wage of) $7.75, you cant even make half the poverty level."""
True,"""I have returned money every year since taking office.""","""i have returned money every year since taking office."""
False,"""Our national debt is as low as it has been since World War II.""","""our national debt is as low as it has been since world war ii."""
True,"""Things went wrong with the Medicare prescription D plan that George Bush rolled out.""","""things went wrong with the medicare prescription d plan that george bush rolled out."""
False,"""They delayed my swearing-in here in Massachusetts for a couple weeks so they could ram (the health care law) through.""","""they delayed my swearing-in here in massachusetts for a couple weeks so they could ram (the health care law) through."""
False,"""The insurance industry is actually run by mostly Democrats.""","""the insurance industry is actually run by mostly democrats."""
True,"""Before the Republican wave in 2010, Democrats had an advantage on the generic ballot in Congress. Even in 1994 with the Gingrich revolution ... Democrats had that advantage.""","""before the republican wave in 2010, democrats had an advantage on the generic ballot in congress. even in 1994 with the gingrich revolution ... democrats had that advantage."""
True,"""Even after Obamacare is fully implemented, there still will be tens of millions of people not covered.""","""even after obamacare is fully implemented, there still will be tens of millions of people not covered."""
False,"""West Linn has one of the highest per capita rates of home-based businesses in the United States.""","""west linn has one of the highest per capita rates of home-based businesses in the united states."""
False,"""FACT: Nothing in #Obamacare forces people out of their health plans.""","""fact: nothing in #obamacare forces people out of their health plans."""
False,"""The number of Americans who receive means-tested government benefits -- welfare -- now outnumbers those who are year-round full-time workers.""","""the number of americans who receive means-tested government benefits -- welfare -- now outnumbers those who are year-round full-time workers."""
False,"""78702 is the second-most gentrified ZIP code in the entire country.""","""78702 is the second-most gentrified zip code in the entire country."""
